epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.967,1.16751,1.50749,1.22281,0.65277,0.53105,0.61675,0.45728,1.07796,1.10151,1.12697,8.33e-06,8.33e-06,8.33e-06
2,589.446,1.19974,1.37535,1.24708,0.65161,0.55243,0.62836,0.46788,1.07371,1.06668,1.12633,1.74966e-05,1.74966e-05,1.74966e-05
3,818.89,1.23033,1.37704,1.26566,0.67037,0.58195,0.64099,0.48124,1.06583,1.0454,1.12001,2.62861e-05,2.62861e-05,2.62861e-05
4,1153.67,1.13019,1.28072,1.23315,0.68833,0.58232,0.65732,0.49579,1.05401,1.01906,1.11304,3.46987e-05,3.46987e-05,3.46987e-05
5,1475.56,1.14275,1.22777,1.21761,0.69443,0.60487,0.66849,0.50535,1.04163,0.98644,1.10443,4.27343e-05,4.27343e-05,4.27343e-05
6,1738.2,1.06267,1.17407,1.18156,0.71907,0.6125,0.68515,0.52102,1.03376,0.96409,1.09679,5.03929e-05,5.03929e-05,5.03929e-05
7,2031.33,1.16966,1.24713,1.21903,0.73132,0.59357,0.65264,0.4911,1.03084,0.94273,1.09136,5.76745e-05,5.76745e-05,5.76745e-05
8,2240.54,1.08518,1.19235,1.17893,0.72175,0.6565,0.71049,0.54059,1.02555,0.92508,1.08661,6.45792e-05,6.45792e-05,6.45792e-05
9,2556.42,1.05298,1.14605,1.17914,0.74244,0.66211,0.72341,0.552,1.01385,0.89702,1.07942,7.11068e-05,7.11068e-05,7.11068e-05
10,2904.94,1.09861,1.08629,1.15809,0.75685,0.66505,0.72886,0.55596,0.997,0.87435,1.07189,7.72574e-05,7.72574e-05,7.72574e-05
11,3133.31,1.01965,1.05734,1.13446,0.76617,0.66928,0.73685,0.56682,0.98647,0.84733,1.06762,8.30311e-05,8.30311e-05,8.30311e-05
12,3395.58,1.12345,1.12173,1.16579,0.77857,0.67208,0.75273,0.58085,0.98017,0.83107,1.06569,8.84277e-05,8.84277e-05,8.84277e-05
13,3687.8,1.05758,1.10481,1.1788,0.79271,0.67283,0.76746,0.58831,0.97494,0.82142,1.06291,9.07256e-05,9.07256e-05,9.07256e-05
14,3964.55,1.06667,1.05855,1.16551,0.79499,0.67098,0.76806,0.59079,0.96505,0.80501,1.05841,8.83694e-05,8.83694e-05,8.83694e-05
15,4157.63,1.05559,1.03595,1.17601,0.81301,0.66581,0.77566,0.5965,0.96036,0.79407,1.05615,8.60132e-05,8.60132e-05,8.60132e-05
16,4411.79,0.98048,0.97564,1.11464,0.82998,0.68671,0.7777,0.59882,0.95088,0.78221,1.05289,8.3657e-05,8.3657e-05,8.3657e-05
17,4624.62,0.99114,0.97632,1.12409,0.86059,0.67399,0.78642,0.60623,0.94164,0.76366,1.04714,8.13008e-05,8.13008e-05,8.13008e-05
18,4892.28,1.02523,1.0464,1.15354,0.86781,0.6733,0.78954,0.60893,0.93961,0.75207,1.04387,7.89446e-05,7.89446e-05,7.89446e-05
19,5128.08,1.02654,0.96752,1.13104,0.86044,0.68651,0.79632,0.61653,0.9348,0.73923,1.04049,7.65884e-05,7.65884e-05,7.65884e-05
20,5398.71,0.99654,0.95867,1.11304,0.85264,0.69265,0.80075,0.62356,0.92789,0.73046,1.03598,7.42322e-05,7.42322e-05,7.42322e-05
21,5658.5,0.98828,0.90122,1.11461,0.8534,0.69957,0.80876,0.62962,0.92014,0.72323,1.03072,7.1876e-05,7.1876e-05,7.1876e-05
22,5904.59,0.97435,0.90825,1.1074,0.85069,0.7117,0.81226,0.63602,0.91474,0.71631,1.02719,6.95198e-05,6.95198e-05,6.95198e-05
23,6173.18,1.02373,0.93711,1.1271,0.85771,0.71376,0.81549,0.64297,0.90856,0.7065,1.02218,6.71636e-05,6.71636e-05,6.71636e-05
24,6233.88,0.94091,0.90259,1.10175,0.85992,0.71131,0.81729,0.64368,0.90292,0.69633,1.01808,6.48074e-05,6.48074e-05,6.48074e-05
25,6290.22,1.01643,0.91487,1.09459,0.80092,0.75234,0.82007,0.64604,0.89952,0.68887,1.01502,6.24512e-05,6.24512e-05,6.24512e-05
26,6346.06,0.96097,0.88507,1.08653,0.85689,0.74411,0.82814,0.65173,0.8958,0.6797,1.01245,6.0095e-05,6.0095e-05,6.0095e-05
27,6411.71,0.96607,0.87157,1.09333,0.86616,0.73614,0.82838,0.65347,0.8893,0.67646,1.00944,5.77388e-05,5.77388e-05,5.77388e-05
28,6465.3,0.9816,0.88997,1.10285,0.8963,0.73054,0.83383,0.65199,0.88201,0.67085,1.00601,5.53826e-05,5.53826e-05,5.53826e-05
29,6510.56,0.97397,0.89835,1.10234,0.893,0.73249,0.83424,0.65226,0.87421,0.66522,1.00342,5.30264e-05,5.30264e-05,5.30264e-05
30,6564.29,0.90215,0.82296,1.08125,0.89396,0.7335,0.83528,0.65501,0.86881,0.66049,1.00112,5.06702e-05,5.06702e-05,5.06702e-05
31,6618.8,0.92719,0.83911,1.08973,0.81305,0.77427,0.83519,0.65638,0.86145,0.65399,0.99847,4.8314e-05,4.8314e-05,4.8314e-05
32,6677.06,0.96012,0.89984,1.09613,0.83985,0.76055,0.82859,0.65907,0.85685,0.64576,0.99678,4.59578e-05,4.59578e-05,4.59578e-05
33,6724.36,0.92513,0.85568,1.0959,0.83402,0.76734,0.82911,0.6577,0.85414,0.64117,0.99525,4.36016e-05,4.36016e-05,4.36016e-05
34,6783.05,0.96763,0.86025,1.08109,0.83575,0.7703,0.8305,0.66003,0.85002,0.63609,0.99403,4.12454e-05,4.12454e-05,4.12454e-05
35,6841.89,0.95251,0.86659,1.09054,0.8365,0.77642,0.83328,0.66422,0.85058,0.63532,0.99412,3.88892e-05,3.88892e-05,3.88892e-05
36,6892.89,0.94695,0.84383,1.08926,0.83772,0.77421,0.83337,0.66365,0.84904,0.63295,0.99215,3.6533e-05,3.6533e-05,3.6533e-05
37,6953.01,0.97927,0.8791,1.11586,0.83402,0.77018,0.83178,0.6628,0.84613,0.63291,0.99049,3.41768e-05,3.41768e-05,3.41768e-05
38,7013.04,0.91413,0.80395,1.071,0.83477,0.77308,0.83488,0.66661,0.84331,0.63154,0.98867,3.18206e-05,3.18206e-05,3.18206e-05
39,7065.37,0.93203,0.85052,1.09064,0.82674,0.77887,0.83633,0.66905,0.83929,0.63079,0.98651,2.94644e-05,2.94644e-05,2.94644e-05
40,7125.86,0.90852,0.83093,1.08844,0.87354,0.75729,0.83709,0.66906,0.83574,0.62665,0.98527,2.71082e-05,2.71082e-05,2.71082e-05
41,7183.37,0.94982,0.91582,1.05731,0.82172,0.78151,0.83735,0.66582,0.84222,0.62967,0.9868,2.4752e-05,2.4752e-05,2.4752e-05
42,7240.83,0.94236,0.87186,1.06585,0.81855,0.77348,0.83285,0.6659,0.84578,0.63024,0.98616,2.23958e-05,2.23958e-05,2.23958e-05
43,7297.75,0.97738,0.85741,1.08425,0.81678,0.78318,0.83584,0.66915,0.84865,0.63188,0.98659,2.00396e-05,2.00396e-05,2.00396e-05
44,7350.92,0.92739,0.83594,1.05385,0.81075,0.7879,0.83451,0.66674,0.85204,0.63443,0.98673,1.76834e-05,1.76834e-05,1.76834e-05
45,7367.7,0.96202,0.84486,1.07115,0.78847,0.80272,0.83435,0.66502,0.85411,0.636,0.98717,1.53272e-05,1.53272e-05,1.53272e-05
46,7380.98,0.9263,0.80459,1.05635,0.77609,0.8052,0.83215,0.66534,0.85648,0.63855,0.98745,1.2971e-05,1.2971e-05,1.2971e-05
47,7394.53,0.92715,0.77422,1.05077,0.77734,0.80363,0.8308,0.66225,0.8571,0.63962,0.98765,1.06148e-05,1.06148e-05,1.06148e-05
48,7408.37,0.90743,0.79818,1.06407,0.79168,0.79266,0.83171,0.6628,0.85723,0.63939,0.98744,8.2586e-06,8.2586e-06,8.2586e-06
49,7421.83,0.91036,0.79954,1.06119,0.78928,0.79067,0.83187,0.6638,0.85738,0.64033,0.98767,5.9024e-06,5.9024e-06,5.9024e-06
50,7435.39,0.89067,0.75159,1.05356,0.78803,0.79075,0.83104,0.66347,0.85706,0.64014,0.98758,3.5462e-06,3.5462e-06,3.5462e-06
