epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,693.373,1.23647,1.59008,1.31632,0.68616,0.48984,0.60566,0.42153,1.17891,1.26025,1.27928,8.33e-06,8.33e-06,8.33e-06
2,1391.63,1.25014,1.44197,1.33975,0.62895,0.53033,0.62121,0.4341,1.16919,1.21933,1.27089,1.69664e-05,1.69664e-05,1.69664e-05
3,2185.86,1.28123,1.47901,1.36708,0.59921,0.56858,0.63302,0.44319,1.16645,1.19356,1.26496,2.46604e-05,2.46604e-05,2.46604e-05
4,3375.35,1.17266,1.36215,1.31958,0.63845,0.57948,0.65723,0.46345,1.15789,1.15853,1.25903,3.14118e-05,3.14118e-05,3.14118e-05
5,4138.31,1.13668,1.2457,1.27021,0.64682,0.61084,0.67384,0.47521,1.14394,1.12171,1.24792,3.72208e-05,3.72208e-05,3.72208e-05
6,4978.97,1.10426,1.25171,1.26255,0.68047,0.62776,0.68683,0.48941,1.12495,1.08237,1.23654,4.20873e-05,4.20873e-05,4.20873e-05
7,5984.57,1.1981,1.32565,1.30932,0.65932,0.63842,0.69434,0.49767,1.11207,1.05842,1.22942,4.60114e-05,4.60114e-05,4.60114e-05
8,6267.57,1.12388,1.26506,1.26617,0.67478,0.64747,0.70339,0.50787,1.10078,1.03366,1.22039,4.89929e-05,4.89929e-05,4.89929e-05
9,6357.45,1.11941,1.22537,1.28107,0.699,0.65212,0.71579,0.51489,1.09121,1.01507,1.21415,5.1032e-05,5.1032e-05,5.1032e-05
10,6453.28,1.10937,1.15139,1.2287,0.70544,0.66709,0.72525,0.52306,1.08089,0.99723,1.20825,5.21285e-05,5.21285e-05,5.21285e-05
11,6544.44,1.20165,1.43415,1.31197,0.72759,0.68201,0.73809,0.53282,1.07435,0.97499,1.20092,5.22827e-05,5.22827e-05,5.22827e-05
12,6630.44,1.21998,1.34126,1.31787,0.72075,0.67577,0.74512,0.53104,1.07524,0.96422,1.20065,5.14943e-05,5.14943e-05,5.14943e-05
13,6715.17,1.1901,1.24929,1.26747,0.73459,0.66842,0.74626,0.53334,1.07614,0.96417,1.20142,4.8314e-05,4.8314e-05,4.8314e-05
14,6796.06,1.17408,1.20833,1.28853,0.75451,0.67458,0.75655,0.53796,1.07152,0.95871,1.1983,4.24235e-05,4.24235e-05,4.24235e-05
15,6881.6,1.13678,1.24082,1.2551,0.72451,0.67136,0.75194,0.53718,1.0696,0.95346,1.19559,3.6533e-05,3.6533e-05,3.6533e-05
16,6966.63,1.14047,1.159,1.26521,0.73874,0.68106,0.76017,0.54393,1.0626,0.94244,1.19154,3.06425e-05,3.06425e-05,3.06425e-05
17,7052.44,1.15458,1.18647,1.27988,0.74957,0.68153,0.76458,0.54761,1.0568,0.92943,1.18812,2.4752e-05,2.4752e-05,2.4752e-05
18,7138.42,1.12822,1.11833,1.25408,0.76772,0.68724,0.76718,0.55349,1.04983,0.91984,1.18335,1.88615e-05,1.88615e-05,1.88615e-05
19,7221.43,1.14109,1.14849,1.27532,0.77761,0.69347,0.77021,0.55534,1.04711,0.91735,1.18255,1.2971e-05,1.2971e-05,1.2971e-05
20,7308.35,1.09891,1.11,1.24568,0.78621,0.6863,0.76875,0.55554,1.04374,0.9143,1.18029,7.0805e-06,7.0805e-06,7.0805e-06
