epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.001,1.16751,1.50749,1.22281,0.66804,0.42902,0.4937,0.3674,1.07796,1.10151,1.12697,8.33e-06,8.33e-06,8.33e-06
2,586.272,1.20012,1.37624,1.24746,0.64961,0.55398,0.62786,0.46693,1.07442,1.06767,1.12661,1.69664e-05,1.69664e-05,1.69664e-05
3,835.525,1.23104,1.37947,1.26593,0.66703,0.52361,0.58702,0.43925,1.06701,1.04728,1.12088,2.46604e-05,2.46604e-05,2.46604e-05
4,1267.05,1.13209,1.28526,1.23408,0.68822,0.58402,0.65516,0.49411,1.05693,1.02179,1.11451,3.14118e-05,3.14118e-05,3.14118e-05
5,1496.91,1.14496,1.23395,1.21947,0.69686,0.60199,0.66666,0.50398,1.04508,0.98991,1.10752,3.72208e-05,3.72208e-05,3.72208e-05
6,1765.28,1.0651,1.18345,1.1833,0.71496,0.6193,0.68299,0.5194,1.03631,0.97028,1.10018,4.20873e-05,4.20873e-05,4.20873e-05
7,2088.54,1.17542,1.26209,1.22255,0.73472,0.63037,0.68952,0.52587,1.03206,0.94884,1.09536,4.60114e-05,4.60114e-05,4.60114e-05
8,2360.55,1.09256,1.20647,1.18499,0.73483,0.64098,0.70163,0.53684,1.02682,0.92909,1.09039,4.89929e-05,4.89929e-05,4.89929e-05
9,2621.39,1.06127,1.16725,1.18398,0.74881,0.64997,0.71143,0.54392,1.01441,0.90683,1.08318,5.1032e-05,5.1032e-05,5.1032e-05
10,2864.98,1.10544,1.10711,1.16344,0.72513,0.55174,0.60222,0.45719,1.00355,0.89103,1.07883,5.21285e-05,5.21285e-05,5.21285e-05
11,3243.14,1.10819,1.23467,1.16942,0.77528,0.65447,0.72519,0.55141,0.99604,0.88006,1.07309,5.22827e-05,5.22827e-05,5.22827e-05
12,3512.84,1.11642,1.2014,1.18994,0.74269,0.66787,0.73271,0.55813,0.99303,0.86495,1.07155,5.14943e-05,5.14943e-05,5.14943e-05
13,3733.96,1.08444,1.11149,1.14218,0.71914,0.48957,0.54815,0.4211,0.99263,0.853,1.07263,4.8314e-05,4.8314e-05,4.8314e-05
14,4020.54,1.08839,1.07599,1.15396,0.7594,0.66718,0.75212,0.57388,0.99063,0.84686,1.07254,4.24235e-05,4.24235e-05,4.24235e-05
15,4293.8,1.07715,1.10277,1.13053,0.74943,0.65879,0.75211,0.57363,0.9902,0.84758,1.07118,3.6533e-05,3.6533e-05,3.6533e-05
16,4606.86,1.05565,1.04039,1.14086,0.72637,0.7038,0.75296,0.57574,0.98762,0.84232,1.06932,3.06425e-05,3.06425e-05,3.06425e-05
17,4859.16,1.06701,1.05733,1.1483,0.7436,0.69834,0.75547,0.57843,0.98297,0.83208,1.06664,2.4752e-05,2.4752e-05,2.4752e-05
18,5128.3,1.0437,0.98642,1.13991,0.73849,0.69761,0.75679,0.58232,0.97921,0.82307,1.06433,1.88615e-05,1.88615e-05,1.88615e-05
19,5411.07,1.06217,1.00394,1.13693,0.74485,0.7039,0.76048,0.58471,0.97719,0.81615,1.06199,1.2971e-05,1.2971e-05,1.2971e-05
20,5737.72,1.03447,0.96584,1.12828,0.74131,0.70609,0.76015,0.58512,0.97578,0.81446,1.06054,7.0805e-06,7.0805e-06,7.0805e-06
